,country,duration_mean,duration_min,duration_max,duration_median,topic0_mean,topic0_min,topic0_max,topic0_median,topic1_mean,topic1_min,topic1_max,topic1_median,topic2_mean,topic2_min,topic2_max,topic2_median,topic3_mean,topic3_min,topic3_max,topic3_median,topic4_mean,topic4_min,dominant_topic,topic4_median,dominant_topic_4_count,dominant_topic_3_count,dominant_topic_2_count,dominant_topic_1_count,dominant_topic_0_count,max_count_topic_categories,Independent_Agencies_count,Rule_of_Law_count,Elections_and_Political_Processes_count,Local_Government_count,Legislature_count,Economic_Governance_count,Disaster_Recovery_count,Economic_Growth_count,Media_count,Civil_Society_count,Agriculture_and_Food_Security_count,Governance_count,Healthcare_count,Public_Finance_count,Environment_count,Private_Sector_count,Democracy_and_Governance_count,Gender_Equality_count,Natural_Resource_count,Education_count,max_count_sector_categories,desc_senti_score_median,desc_sub_score_median,res_senti_score_median,res_sub_score_median,desc_senti_score_mean,desc_sub_score_mean,res_senti_score_mean,res_sub_score_mean,desc_senti_score_min,desc_sub_score_min,res_senti_score_min,res_sub_score_min,desc_senti_score_max,desc_sub_score_max,res_senti_score_max,res_sub_score_max,intervention_type_Awareness_count,intervention_type_Transparency_count,intervention_type_Assessment_count,intervention_type_Accountability_count,intervention_type_Participation_count,intervention_type_Enforcement_count,intervention_type_Study_count,intervention_type_Citizen_Media_Business_Engagement_Participation_count,awd_value_min,awd_value_max,awd_value_mean,awd_value_median,awd_amount_very_low,awd_amount_low,awd_amount_median_low,awd_amount_median,awd_amount_median_high,awd_amount_high,awd_amount_very_high,corruption_initial,stability_initial,stability_median,numberofprojects,corruption_median,change_s,change_c
34,Kyrgyzstan,3.428571429,2,9,3,0.037142857,0.03,0.04,0.04,0.037142857,0.03,0.04,0.04,0.037142857,0.03,0.04,0.04,0.33,0.03,0.87,0.04,0.557142857,0.03,0.88,0.84,4,3,0,0,0,dominant_topic_4_count,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Rule_of_Law_count,0,0.23,0.075,0.317857143,-0.030204082,0.34170068,0.013921283,0.405303472,-0.5,0,-0.5,0,0.2,1,0.22244898,1,3,4,0,4,4,1,0,0,1090519,28000000,10173416.33,1429730,0,2,0,0,1,0,0,High Corruption,Unstable,Unstable,7,High Corruption,Same,Same
35,"Kyrgyzstan, Kazakhstan, Tajikistan",5,5,5,5,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0,1,0,0,0,dominant_topic_3_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Private_Sector_count,0.116666667,0.155555556,0,0,0.116666667,0.155555556,0,0,0.116666667,0.155555556,0,0,0.116666667,0.155555556,0,0,1,0,0,0,1,0,0,0,,,,,0,0,0,0,0,0,0,High Corruption,Unstable,Unstable,1,High Corruption,Same,Same
36,"Kyrgyzstan, Kazakhstan, Tajikistan, Uzbekistan, Turkmenistan",0,0,0,0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.09,0.09,0.09,0.09,0.04,0.04,0.04,0.04,0.8,0.8,0.8,0.8,1,0,0,0,0,dominant_topic_4_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gender_Equality_count,0.094047619,0.252380952,0.19,0.405,0.094047619,0.252380952,0.19,0.405,0.094047619,0.252380952,0.19,0.405,0.094047619,0.252380952,0.19,0.405,0,0,1,0,0,0,0,0,,,,,1,0,0,0,0,0,0,High Corruption,Unstable,Unstable,1,High Corruption,Same,Same
37,Laos,4,4,4,4,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.62,0.62,0.62,0.62,0.29,0.29,0.29,0.29,0,1,0,0,0,dominant_topic_3_count,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Economic_Growth_count,0.6,0.3,0.153968254,0.285449735,0.6,0.3,0.153968254,0.285449735,0.6,0.3,0.153968254,0.285449735,0.6,0.3,0.153968254,0.285449735,0,0,0,1,1,0,0,0,,,,,0,0,0,0,0,0,0,High Corruption,Unstable,Unstable,1,High Corruption,Same,Same
38,Lebanon,4.714285714,2,10,3,0.035714286,0.03,0.05,0.03,0.035714286,0.03,0.05,0.03,0.04,0.03,0.06,0.04,0.254285714,0.03,0.84,0.03,0.634285714,0.04,0.89,0.85,5,2,0,0,0,dominant_topic_4_count,0,1,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Local_Government_count,0.04,0.25,0.16,0.333333333,0.167089947,0.27962963,0.138696145,0.315164399,-0.2,0,0,0,0.7,0.9,0.286428571,0.54,0,4,0,2,2,0,0,0,3132171,34000000,15598122.86,9350901,0,1,3,1,2,0,0,High Corruption,Very Unstable,Very Unstable,7,High Corruption,Same,Same
39,Liberia,3.666666667,2,5,4,0.04,0.03,0.05,0.04,0.04,0.03,0.05,0.04,0.04,0.03,0.05,0.04,0.046666667,0.04,0.05,0.05,0.84,0.81,0.87,0.84,3,0,0,0,0,dominant_topic_4_count,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Economic_Growth_count,0.18,0.373333333,0.006666667,0.183333333,0.10021164,0.447063492,0.007976191,0.229920635,-0.09047619,0.333333333,-0.045833333,0.026666667,0.211111111,0.63452381,0.063095238,0.479761905,2,1,0,1,2,0,0,0,5131000,10454136,7328965.667,6401761,0,0,2,1,0,0,0,High Corruption,Very Unstable,Very Unstable,3,High Corruption,Same,Same
40,Libya,0,0,0,0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.61,0.61,0.61,0.61,0.26,0.26,0.26,0.26,0,1,0,0,0,dominant_topic_3_count,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rule_of_Law_count,0.8,0.9,0.525,0.725,0.8,0.9,0.525,0.725,0.8,0.9,0.525,0.725,0.8,0.9,0.525,0.725,1,0,0,0,0,1,0,0,,,,,0,0,0,0,0,0,0,Very High Corruption,Very Unstable,Very Unstable,1,Very High Corruption,Same,Same
41,Macedonia,4.142857143,3,6,4,0.034285714,0.03,0.04,0.03,0.038571429,0.03,0.07,0.03,0.038571429,0.03,0.06,0.04,0.354285714,0.03,0.87,0.04,0.534285714,0.03,0.88,0.82,4,3,0,0,0,dominant_topic_4_count,0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Rule_of_Law_countLocal_Government_count,0.05,0.285714286,0,0.239166667,0.138435374,0.310912698,-0.004241983,0.298662941,-0.078571429,0,-0.140833333,0.171428571,0.492857143,0.717857143,0.1125,0.474489796,3,4,0,4,0,3,0,0,350000,9478829,4878139,5236551.5,1,2,3,0,0,0,0,High Corruption,Unstable,Unstable,7,High Corruption,Same,Same
42,Madagascar,2,2,2,2,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.85,0.85,0.85,0.85,1,0,0,0,0,dominant_topic_4_count,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Independent_Agencies_count,-0.375,0.766666667,-0.316666667,0.736111111,-0.375,0.766666667,-0.316666667,0.736111111,-0.375,0.766666667,-0.316666667,0.736111111,-0.375,0.766666667,-0.316666667,0.736111111,1,1,0,0,1,1,0,0,699423,699423,699423,699423,1,0,0,0,0,0,0,High Corruption,Unstable,Unstable,1,High Corruption,Same,Same
43,Malawi,2,2,2,2,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.84,0.84,0.84,0.84,1,0,0,0,0,dominant_topic_4_count,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Governance_count,-0.2,0.933333333,-0.15,0.4,-0.2,0.933333333,-0.15,0.4,-0.2,0.933333333,-0.15,0.4,-0.2,0.933333333,-0.15,0.4,0,1,0,1,1,0,0,0,8443060,8443060,8443060,8443060,0,0,1,0,0,0,0,High Corruption,Unstable,Unstable,1,High Corruption,Same,Same
44,Mali,5,5,5,5,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.89,0.89,0.89,0.89,1,0,0,0,0,dominant_topic_4_count,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Local_Government_count,0.006666667,0.013333333,0,0.016666667,0.006666667,0.013333333,0,0.016666667,0.006666667,0.013333333,0,0.016666667,0.006666667,0.013333333,0,0.016666667,0,0,0,1,0,0,0,0,8699776,8699776,8699776,8699776,0,0,1,0,0,0,0,High Corruption,Unstable,Unstable,1,High Corruption,Same,Same
45,Mexico,5,5,5,5,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.165,0.04,0.29,0.165,0.71,0.59,0.83,0.71,2,0,0,0,0,dominant_topic_4_count,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rule_of_Law_countLocal_Government_count,0.133333333,0.206944445,-0.069553572,0.186755953,0.133333333,0.206944445,-0.069553572,0.186755953,0,0.1,-0.082857143,0.16875,0.266666667,0.313888889,-0.05625,0.204761905,1,2,0,2,0,0,0,0,9000000,44100000,26550000,26550000,0,0,1,0,1,0,0,High Corruption,Unstable,Unstable,2,High Corruption,Same,Same
46,Moldova,3.142857143,1,5,4,0.032857143,0.03,0.04,0.03,0.05,0.03,0.11,0.04,0.032857143,0.03,0.04,0.03,0.374285714,0.03,0.83,0.42,0.508571429,0.03,0.88,0.46,4,3,0,0,0,dominant_topic_4_count,0,2,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,Rule_of_Law_countEconomic_Growth_count,-0.1,0.57,-0.00175,0.3,-0.115079365,0.629656085,0.036705782,0.285870151,-0.5,0.145,-0.0675,0.133333333,0.43,1,0.2,0.404666667,1,4,0,4,1,1,0,0,2262001,14641172,7544654.657,8168542,0,2,4,1,0,0,0,High Corruption,Unstable,Unstable,7,High Corruption,Same,Same
47,Mongolia,4.75,0,9,5.5,0.03375,0.03,0.04,0.03,0.03375,0.03,0.04,0.03,0.035,0.03,0.04,0.035,0.24,0.03,0.86,0.04,0.65625,0.04,0.89,0.85,6,2,0,0,0,dominant_topic_4_count,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,Independent_Agencies_countRule_of_Law_countLocal_Government_countEconomic_Growth_countMedia_countCivil_Society_countGovernance_countPrivate_Sector_count,0.010416667,0.296527778,-0.069919218,0.475708061,0.015798611,0.345891204,0.008892863,0.499510369,-0.366666667,0,-0.222222222,0.344196429,0.322222222,0.807407407,0.657142857,0.780952381,2,5,0,5,4,2,0,0,269992,18163616,7347266,3499994,1,3,0,2,0,0,0,High Corruption,Unstable,Unstable,8,High Corruption,Same,Same
48,Montenegro,2.666666667,1,4,3,0.033333333,0.03,0.04,0.03,0.033333333,0.03,0.04,0.03,0.11,0.03,0.27,0.03,0.346666667,0.04,0.87,0.13,0.47,0.03,0.78,0.6,2,1,0,0,0,dominant_topic_4_count,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Governance_count,0.1,0.406666667,0.033333333,0.197916667,-0.038333333,0.503888889,0.069444444,0.184490741,-0.415,0.3,-0.025,0.055555556,0.2,0.805,0.2,0.3,0,2,1,1,2,0,0,0,6699246,8625944,7662595,7662595,1,0,2,0,0,0,0,High Corruption,Unstable,Unstable,3,High Corruption,Same,Same
49,Morocco,3.5,0,5,4,0.043333333,0.03,0.08,0.04,0.043333333,0.03,0.08,0.04,0.14,0.03,0.66,0.04,0.451666667,0.03,0.85,0.465,0.325,0.04,0.87,0.065,2,3,1,0,0,dominant_topic_3_count,0,0,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,Local_Government_countEconomic_Growth_count,0.2,0.3375,0.070370371,0.105092593,0.113690476,0.419543651,0.082484568,0.182253086,-0.5,0.070833333,0,0,0.3625,1,0.1875,0.55,1,4,1,1,2,0,0,0,6780000,27019737,14437434.25,11975000,1,0,2,1,1,0,0,High Corruption,Unstable,Unstable,6,High Corruption,Same,Same
50,Mozambique,3,3,3,3,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.89,0.89,0.89,0.89,1,0,0,0,0,dominant_topic_4_count,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Local_Government_count,0.064285714,0.285714286,-0.072222222,0.197222222,0.064285714,0.285714286,-0.072222222,0.197222222,0.064285714,0.285714286,-0.072222222,0.197222222,0.064285714,0.285714286,-0.072222222,0.197222222,1,0,0,1,1,0,0,0,5675520,5675520,5675520,5675520,0,0,1,0,0,0,0,High Corruption,Unstable,Unstable,1,High Corruption,Same,Same
51,Multiple,3.75,0,6,4.5,0.045,0.03,0.07,0.04,0.045,0.03,0.07,0.04,0.0975,0.03,0.25,0.055,0.0475,0.03,0.07,0.045,0.76,0.61,0.86,0.785,4,0,0,0,0,dominant_topic_4_count,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,Rule_of_Law_countEconomic_Growth_countCivil_Society_countHealthcare_count,0.042857143,0.244510582,0.025961539,0.305555556,0.140064334,0.209829696,0.048397436,0.363034188,-0.096885522,0,-0.008333333,0.091025641,0.571428571,0.350297619,0.15,0.75,3,2,0,1,2,0,1,0,2998879,125000000,44666293,6000000,0,1,1,0,0,0,1,High Corruption,Unstable,Unstable,4,High Corruption,Same,Same
52,Nepal,3,3,3,3,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.203333333,0.03,0.55,0.03,0.706666667,0.37,0.88,0.87,2,1,0,0,0,dominant_topic_4_count,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Rule_of_Law_countLocal_Government_countCivil_Society_count,0,0.105555556,-0.065686275,0.45,-0.013227513,0.224338624,0.04347254,0.441172227,-0.095238095,0.033333333,-0.203896104,0.254901961,0.055555556,0.534126984,0.4,0.618614719,2,1,0,2,3,0,0,0,4993872,20866000,10485225.67,5595805,0,1,1,1,0,0,0,High Corruption,Very Unstable,Very Unstable,3,High Corruption,Same,Same
53,Nicaragua,3.2,2,4,3,0.038,0.03,0.04,0.04,0.038,0.03,0.04,0.04,0.052,0.04,0.1,0.04,0.196,0.03,0.83,0.04,0.682,0.04,0.86,0.84,4,1,0,0,0,dominant_topic_4_count,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,Civil_Society_count,0,0.2,0.285714286,0.35,-0.081428571,0.313571429,0.227142857,0.317142857,-0.5,0,0,0.066666667,0.142857143,1,0.4,0.535714286,3,2,0,1,4,0,0,0,4100000,11805310,7776327.5,7600000,0,1,2,1,0,0,0,High Corruption,Unstable,Unstable,5,High Corruption,Same,Same
54,Nigeria,3.25,1,5,3.5,0.0375,0.03,0.05,0.035,0.0425,0.03,0.05,0.045,0.05,0.03,0.08,0.045,0.0375,0.03,0.05,0.035,0.83,0.8,0.87,0.825,4,0,0,0,0,dominant_topic_4_count,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,Agriculture_and_Food_Security_countGovernance_countPublic_Finance_countDemocracy_and_Governance_count,0.021180556,0.212446581,0,0.159444445,0.023330662,0.231223291,0.007291667,0.142222222,0,0,-0.070833333,0,0.050961538,0.5,0.1,0.25,1,2,1,2,1,0,0,0,198050,39955377,13438868.75,6801024,1,1,1,0,1,0,0,High Corruption,Very Unstable,Very Unstable,4,High Corruption,Same,Same
55,Pakistan,4,3,5,4,0.043333333,0.03,0.06,0.04,0.043333333,0.03,0.06,0.04,0.043333333,0.03,0.06,0.04,0.226666667,0.03,0.59,0.06,0.643333333,0.29,0.87,0.77,4,1,0,0,0,dominant_topic_4_count,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,Civil_Society_count,0,0.111111111,0.3,0.2,-0.07031746,0.261269841,0.198571429,0.319047619,-0.433333333,0,-0.3,0.1,0.055555556,0.733333333,0.528571429,0.671428571,4,1,0,1,3,0,0,0,135000000,135000000,135000000,135000000,0,0,0,0,0,0,1,High Corruption,Very Unstable,Very Unstable,5,High Corruption,Same,Same
56,Panama,4,4,4,4,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.83,0.83,0.83,0.83,1,0,0,0,0,dominant_topic_4_count,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rule_of_Law_count,-0.4,0.7,0.008333333,0.033333333,-0.4,0.7,0.008333333,0.033333333,-0.4,0.7,0.008333333,0.033333333,-0.4,0.7,0.008333333,0.033333333,0,1,0,1,0,1,0,0,4500000,4500000,4500000,4500000,0,1,0,0,0,0,0,High Corruption,Unstable,Unstable,1,High Corruption,Same,Same
57,Paraguay,2.75,2,3,3,0.0425,0.03,0.07,0.035,0.205,0.03,0.72,0.035,0.0675,0.04,0.09,0.07,0.1325,0.06,0.31,0.08,0.5525,0.07,0.81,0.665,3,0,0,1,0,dominant_topic_4_count,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Rule_of_Law_count,-0.05,0.5,0.171428572,0.300595238,-0.059375,0.394444445,0.115505953,0.243630952,-0.2,0.066666667,-0.180833333,0,0.0625,0.511111111,0.3,0.373333333,1,4,0,4,2,0,0,0,3800000,34600000,19725000,20250000,0,1,0,1,2,0,0,High Corruption,Unstable,Unstable,4,High Corruption,Same,Same
58,Peru,4,3,5,4,0.032,0.03,0.04,0.03,0.034,0.03,0.04,0.03,0.032,0.03,0.04,0.03,0.066,0.03,0.2,0.03,0.842,0.7,0.89,0.88,5,0,0,0,0,dominant_topic_4_count,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Local_Government_count,-0.063636364,0.278787879,0,0.065277778,-0.08987013,0.427313131,-0.038217172,0.206131313,-0.416666667,0.066666667,-0.28,0,0.214285714,0.844444444,0.07780303,0.633333333,0,2,0,4,3,1,0,0,4464906,20000000,13984963.6,14967126,0,1,0,4,0,0,0,High Corruption,Unstable,Unstable,5,High Corruption,Same,Same
59,Philippines,4,2,8,4,0.033333333,0.03,0.04,0.03,0.041666667,0.03,0.13,0.03,0.033333333,0.03,0.04,0.03,0.16,0.03,0.88,0.04,0.7325,0.03,0.88,0.845,11,1,0,0,0,dominant_topic_4_count,3,2,1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,Independent_Agencies_count,0.021538461,0.5225,0,0.475,-0.006132479,0.498294668,0.050190972,0.430046296,-0.5,0,-0.25,0,0.66,1,0.566666667,0.866666667,5,7,0,9,4,4,0,0,600000,23545630,8491690.5,4377075,2,4,1,3,0,0,0,High Corruption,Unstable,Very Unstable,12,High Corruption,Worse,Same
60,Russia,4.6,3,9,4,0.034,0.03,0.04,0.03,0.034,0.03,0.04,0.03,0.034,0.03,0.04,0.03,0.284,0.03,0.81,0.04,0.624,0.09,0.89,0.86,3,2,0,0,0,dominant_topic_4_count,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Rule_of_Law_count,0,0.2,0.078571429,0.310238095,0.015238095,0.232857143,0.043261278,0.291827694,-0.2,0,-0.05,0.17,0.283333333,0.514285714,0.119047619,0.435416667,2,2,0,4,4,0,0,0,3400000,4448847,3924423.5,3924423.5,0,2,0,0,0,0,0,High Corruption,Unstable,Unstable,5,High Corruption,Same,Same
61,Rwanda,0,0,0,0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.27,0.27,0.27,0.27,0.05,0.05,0.05,0.05,0.59,0.59,0.59,0.59,1,0,0,0,0,dominant_topic_4_count,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Healthcare_count,-0.383333333,0.694444444,0.0625,0.3125,-0.383333333,0.694444444,0.0625,0.3125,-0.383333333,0.694444444,0.0625,0.3125,-0.383333333,0.694444444,0.0625,0.3125,0,0,1,0,0,0,0,0,118000,118000,118000,118000,1,0,0,0,0,0,0,High Corruption,Unstable,Unstable,1,High Corruption,Same,Same
62,SENEGAL,0,0,0,0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.1,0.1,0.1,0.1,0.04,0.04,0.04,0.04,0.77,0.77,0.77,0.77,1,0,0,0,0,dominant_topic_4_count,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Governance_count,-0.325,0.8,-0.239583333,0.605555556,-0.325,0.8,-0.239583333,0.605555556,-0.325,0.8,-0.239583333,0.605555556,-0.325,0.8,-0.239583333,0.605555556,0,0,1,0,0,0,0,0,,,,,1,0,0,0,0,0,0,High Corruption,Unstable,Unstable,1,High Corruption,Same,Same
63,Serbia,4,2,5,5,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.428,0.03,0.86,0.36,0.476,0.04,0.89,0.53,3,2,0,0,0,dominant_topic_4_count,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Rule_of_Law_count,0,0.341666667,-0.0625,0.361333333,0.020833333,0.395277778,-0.000322222,0.386637037,-0.25,0.266666667,-0.127777778,0.276666667,0.275,0.5625,0.222,0.518518519,1,4,0,2,1,1,0,0,600000,21885396,13667345,16091992,1,0,0,3,0,0,0,High Corruption,Unstable,Unstable,5,High Corruption,Same,Same
64,Sierra Leone,3,2,4,3,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.225,0.03,0.42,0.225,0.675,0.48,0.87,0.675,2,0,0,0,0,dominant_topic_4_count,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Agriculture_and_Food_Security_countNatural_Resource_count,0.15,0.133333333,-0.416580579,0.677083334,0.15,0.133333333,-0.416580579,0.677083334,0,0,-0.8,0.354166667,0.3,0.266666667,-0.033161157,1,2,0,0,0,2,0,0,0,599167,15400000,7999583.5,7999583.5,1,0,0,1,0,0,0,High Corruption,Unstable,Unstable,2,High Corruption,Same,Same
65,Sri Lanka,4,2,5,5,0.033333333,0.03,0.04,0.03,0.033333333,0.03,0.04,0.03,0.033333333,0.03,0.04,0.03,0.033333333,0.03,0.04,0.03,0.873333333,0.85,0.9,0.87,3,0,0,0,0,dominant_topic_4_count,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Local_Government_countMedia_countGovernance_count,0.041666667,0.458333333,-0.2,0.425,-0.002777778,0.433333333,-0.123958333,0.448263889,-0.208333333,0.241666667,-0.371875,0.241666667,0.158333333,0.6,0.2,0.678125,1,3,0,1,2,0,0,0,2331279,42000669,19417570,13920762,0,1,0,1,1,0,0,High Corruption,Unstable,Unstable,3,High Corruption,Same,Same
66,Thailand,5,5,5,5,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.9,0.9,0.9,0.9,1,0,0,0,0,dominant_topic_4_count,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Civil_Society_count,-0.2425,0.430833333,0,0,-0.2425,0.430833333,0,0,-0.2425,0.430833333,0,0,-0.2425,0.430833333,0,0,1,0,0,0,1,0,0,0,30376918,30376918,30376918,30376918,0,0,0,0,1,0,0,High Corruption,Very Unstable,Very Unstable,1,High Corruption,Same,Same
67,Turkmenistan,4,4,4,4,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.85,0.85,0.85,0.85,1,0,0,0,0,dominant_topic_4_count,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Governance_count,0.25,0.25,0.58,0.42,0.25,0.25,0.58,0.42,0.25,0.25,0.58,0.42,0.25,0.25,0.58,0.42,0,1,0,1,0,0,0,0,2442035,2442035,2442035,2442035,0,1,0,0,0,0,0,Very High Corruption,Unstable,Unstable,1,Very High Corruption,Same,Same
68,Uganda,2.5,2,3,2.5,0.04,0.04,0.04,0.04,0.07,0.04,0.1,0.07,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.815,0.79,0.84,0.815,2,0,0,0,0,dominant_topic_4_count,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Public_Finance_count,0.175,0.216666667,-0.148361345,0.404965862,0.175,0.216666667,-0.148361345,0.404965862,0,0.033333333,-0.246722689,0.169791667,0.35,0.4,-0.05,0.640140056,0,1,0,1,1,1,0,0,6123806,7962336,7043071,7043071,0,0,2,0,0,0,0,High Corruption,Unstable,Unstable,2,High Corruption,Same,Same
69,Ukraine,3.375,2,5,3,0.035,0.03,0.04,0.035,0.04125,0.03,0.09,0.035,0.03875,0.03,0.07,0.035,0.54125,0.03,0.83,0.66,0.33875,0.04,0.88,0.215,2,6,0,0,0,dominant_topic_3_count,0,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,Rule_of_Law_count,-0.031060606,0.422552448,0.011428571,0.373891369,-0.037725087,0.415996908,0.035236235,0.400585938,-0.5,0,-0.1890625,0.111111111,0.42,1,0.53,0.78,2,5,0,6,2,2,0,0,3470000,16991610,9780468.547,9042756.14,0,1,3,2,0,0,0,High Corruption,Unstable,Unstable,8,High Corruption,Same,Same
70,Vietnam,3.5,3,4,3.5,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.845,0.84,0.85,0.845,0.04,0.04,0.04,0.04,0,2,0,0,0,dominant_topic_3_count,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Economic_Growth_count,0.13,0.345,0.015238928,0.265530303,0.13,0.345,0.015238928,0.265530303,0.1,0.15,-0.018560606,0.225,0.16,0.54,0.049038462,0.306060606,1,2,0,0,0,0,0,0,11736866,13595736,12666301,12666301,0,0,0,2,0,0,0,High Corruption,Unstable,Unstable,2,High Corruption,Same,Same
71,West Bank and Gaza,4.2,2,6,4.5,0.034,0.03,0.05,0.03,0.034,0.03,0.05,0.03,0.047,0.03,0.16,0.03,0.313,0.03,0.88,0.04,0.58,0.03,0.9,0.785,7,3,0,0,0,dominant_topic_4_count,0,3,0,2,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,Rule_of_Law_count,0.121875,0.234895833,0,0.164285715,0.059135101,0.261195437,-0.073851191,0.249580357,-0.25,0.066666667,-0.533333333,0,0.2,0.466666667,0.2,0.75625,4,6,0,5,7,0,0,0,3972168,100000000,33278936,21419916.5,0,1,1,4,2,2,0,High Corruption,Very Unstable,Very Unstable,10,High Corruption,Same,Same
72,Yemen,4,3,5,4,0.036666667,0.03,0.04,0.04,0.036666667,0.03,0.04,0.04,0.096666667,0.03,0.22,0.04,0.036666667,0.03,0.04,0.04,0.8,0.65,0.9,0.85,3,0,0,0,0,dominant_topic_4_count,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,Civil_Society_countGovernance_countHealthcare_count,0,0.125,-0.023333333,0.391428571,-0.013333333,0.212777778,0.026626984,0.428531746,-0.04,0,-0.0625,0.1875,0,0.513333333,0.165714286,0.706666667,1,1,0,2,1,1,0,1,2939048,43000000,22516454.26,21610314.78,0,1,0,1,1,0,0,High Corruption,Very Unstable,Very Unstable,3,High Corruption,Same,Same
73,Zambia,2.5,2,3,2.5,0.035,0.03,0.04,0.035,0.035,0.03,0.04,0.035,0.035,0.03,0.04,0.035,0.43,0.03,0.83,0.43,0.45,0.04,0.86,0.45,1,1,0,0,0,dominant_topic_4_countdominant_topic_3_count,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Rule_of_Law_countGovernance_count,-0.283333334,0.726388889,-0.335714286,0.821428572,-0.283333334,0.726388889,-0.335714286,0.821428572,-0.5,0.452777778,-0.5,0.642857143,-0.066666667,1,-0.171428571,1,1,2,0,1,2,0,0,0,4807018,22735000,13771009,13771009,0,1,0,1,0,0,0,High Corruption,Unstable,Unstable,2,High Corruption,Same,Same